model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,rope,0.8,TRUE,TrueDiag,1,4950,0.11502570938868786,NA,302,1,4647,0,86.80562376750026,20.192399488796067,4.898150815672724,0.7057754577086373,0.9573924838426554
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
